country,year,death_rate,assault_rate_per_100k,homicide_rate_per_100k,country,year,bottom_40_income_share,disposable_income_per_capita,inability_make_ends_meet_percentage,gdp_per_capita,mean_income,median_income,purchasing_power,country,year,early_leavers_percentage,tertiary_attainment_percentage,country,year,life_expectancy,healthy_expectancy_2004_2021,country,year,emigration,immigration,country,year,deprivation_percentage,house_deprivation_percentage,poverty_risk_percentage,risk_after_social_transfer_percentage,country,year,average_annual_net_earnings,employment_rate,income_inequality_ratio,work_poverty_risk_percentage
IT,2018,0.46,109.72,0.59,IT,2018,19.3,21946,9.7,27030,19061,16715,29400,IT,2018,14.5,27.7,IT,2018,83.4,66.8,IT,2018,156960,332324,IT,2018,6.5,5,25.7,20.3,IT,2018,21294.82,63,6.55,12.2
IT,2019,0.38,110.16,0.53,IT,2019,19.5,22455,8.2,27230,19452,17099,30200,IT,2019,13.5,27.7,IT,2019,83.6,68.3,IT,2019,179505,332778,IT,2019,6.4,5,24.6,20.1,IT,2019,21500.18,63.5,6.35,11.8
IT,2020,0.35,91.45,0.48,IT,2020,19.7,22326,9,24910,20106,17764,28200,IT,2020,13.1,28.9,IT,2020,82.3,68,IT,2020,159884,247526,IT,2020,6.2,6.1,24.9,20,IT,2020,22507.69,61.9,5.97,10.8
LT,2015,4.11,7.33,5.75,LT,2015,17.3,15515,6.8,11620,10445,8251,20700,LT,2015,5.5,54.8,LT,2015,74.6,56.5,LT,2015,44533,22130,LT,2015,14.6,8.9,29.4,22.2,LT,2015,6651.85,73.3,8.52,9.9
LT,2016,3.63,7.48,4.92,LT,2016,17.5,16486,6.9,12070,11666,9364,21500,LT,2016,4.8,54.9,LT,2016,74.9,57.8,LT,2016,50333,20162,LT,2016,15.4,8.6,30,21.9,LT,2016,7217.25,75.2,7.65,8.5
LT,2017,2.84,6.25,3.97,LT,2017,17.2,17226,7.1,12760,12092,9819,23200,LT,2017,5.4,55.6,LT,2017,75.8,58.1,LT,2017,47925,20368,LT,2017,14.4,8.1,29.8,22.9,LT,2017,7897.69,76,7.78,8.5
LT,2018,2.56,6.59,3.45,LT,2018,17.5,17998,5.5,13400,13060,10702,24700,LT,2018,4.6,55.6,LT,2018,76,57.7,LT,2018,32206,28914,LT,2018,12,6.9,28.5,22.9,LT,2018,8690.66,77.8,7.41,8.1
LT,2019,2.2,5.44,3.01,LT,2019,18.2,19718,3,14060,14054,11509,26400,LT,2019,4,55.2,LT,2019,76.5,57.5,LT,2019,29273,40067,LT,2019,9.7,7.8,25.5,20.6,LT,2019,9794.92,78.2,6.62,7.9
LT,2020,2.47,5.37,3.54,LT,2020,18.7,21000,3,14060,15293,12546,26300,LT,2020,5.6,56.2,LT,2020,75.1,56.8,LT,2020,23103,43096,LT,2020,8.1,5.4,24.5,20.9,LT,2020,10787.57,76.7,6.17,8
LU,2015,0.94,108,0.89,LU,2015,22.4,31838,4.2,82810,32969,29285,77600,LU,2015,9.3,50.3,LU,2015,82.4,62.2,LU,2015,12644,23803,LU,2015,2.5,1.7,18.4,15.3,LU,2015,38630.79,70.9,4.35,11.6
