country,year,emigration,immigration
IE,2013,76560,65539
IE,2014,71107,73519
IE,2015,67160,80792
IE,2016,62056,85185
IE,2017,64068,78499
IE,2018,53735,97712
IE,2019,62004,85630
IE,2020,55942,74211
IE,2021,52429,80732
IS,1990,3847,3166
IS,1991,2982,3989
IS,1992,3213,2959
IS,1993,2901,2698
IS,1994,3436,2676
IS,1995,4285,2867
IS,1996,4108,3664
IS,1997,3921,3990
IS,1998,3682,4562
IS,1999,3663,4785
IS,2000,3489,5203
IS,2001,4034,5002
IS,2002,4490,4215
IS,2003,3837,3704
IS,2004,4820,5350
IS,2005,3913,7773
IS,2006,4577,9832
IS,2007,7414,12546
IS,2008,9144,10288
IS,2009,6874,3921
IS,2010,5459,3948
IS,2011,4812,4073
IS,2012,4758,4960
IS,2013,4372,6406
IS,2014,4052,5368
IS,2015,4046,5635
IS,2016,4159,8710
IS,2017,3641,12116
IS,2018,4372,11830
IS,2019,4590,9872
IS,2020,6009,8544
IS,2021,4661,8996
IT,1990,55989,166754
IT,1991,57730,126935
IT,1992,56985,113916
IT,1993,61282,100401
IT,1994,65548,99105
IT,1995,43303,96710
IT,1996,47510,171967
IT,1997,46273,162857
IT,1998,45889,156885
IT,1999,64873,185052
IT,2000,56601,226968
IT,2001,56077,208252
IT,2002,41756,213202
IT,2003,48706,440301
IT,2004,49910,414880
IT,2005,53931,304960
IT,2006,58407,279714
IT,2007,51113,527123
IT,2008,80947,534712
IT,2009,80597,442940
IT,2010,78771,458856
IT,2011,82461,385793
IT,2012,106216,350772
IT,2013,125735,307454
IT,2014,136328,277631
IT,2015,146955,280078
IT,2016,157065,300823
IT,2017,155110,343440
IT,2018,156960,332324
IT,2019,179505,332778
IT,2020,159884,247526
IT,2021,158312,318366
LI,2008,490,578
LI,2009,455,584
LI,2010,428,591
LI,2011,467,650
LI,2012,439,671
LI,2013,497,696
LI,2014,476,615
LI,2015,468,657
LI,2016,522,607
LI,2017,426,645
LI,2018,484,649
LI,2019,446,727
LI,2020,432,713
LI,2021,516,669
LT,1990,23592,14744
LT,1991,22503,11828
LT,1992,31972,6640
LT,1993,26840,2850
LT,1994,25859,1664
LT,1995,25688,2020
LT,1996,26394,3025
LT,1997,24957,2536
LT,1998,24828,2706
LT,1999,23418,2679
LT,2000,21816,1510
LT,2001,27841,4694
LT,2002,16719,5110
LT,2003,26283,4728
LT,2004,37691,5553
LT,2005,57885,6789
LT,2006,32390,7745
LT,2007,30383,8609
LT,2008,25750,9297
LT,2009,38500,6487
LT,2010,83157,5213
LT,2011,53863,15685
LT,2012,41100,19843
LT,2013,38818,22011
LT,2014,36621,24294
LT,2015,44533,22130
LT,2016,50333,20162
LT,2017,47925,20368
LT,2018,32206,28914
LT,2019,29273,40067
LT,2020,23103,43096
LT,2021,25205,44858
LU,1990,6339,10281
LU,1991,6740,10913
LU,1992,6440,10697
LU,1993,5826,10069
LU,1994,6141,10145
LU,1995,5715,10337
LU,1996,6355,10027
LU,1997,6591,10423
LU,1998,7574,11630
LU,1999,8075,12794
LU,2000,8121,11765
LU,2001,8824,12135
LU,2002,9452,12101
LU,2003,7746,13158
LU,2004,8480,12872
LU,2005,8287,14397
LU,2006,9001,14352
LU,2007,10674,16675
LU,2008,10058,17758
LU,2009,9168,15751
LU,2010,9302,16962
LU,2011,9264,20268
LU,2012,10442,20478
LU,2013,10750,21098
LU,2014,11283,22332
LU,2015,12644,23803
LU,2016,13442,22888
LU,2017,13831,24379
LU,2018,13985,24644
LU,2019,15593,26668
LU,2020,14870,22490
LU,2021,15959,25335
LV,1991,29729,14684
LV,1992,59673,6199
LV,1993,36447,4114
LV,1994,25869,3046
LV,1995,16512,2799
LV,1996,12828,2747
LV,1997,12333,2913
LV,1998,8874,3123
LV,1999,5898,1813
LV,2000,22911,6483
LV,2001,24539,5376
LV,2002,15837,6642
LV,2003,15647,4063
LV,2004,20167,4844
LV,2005,17643,6691
LV,2006,17019,8212
LV,2007,15463,7517
LV,2008,27045,4678
LV,2009,38208,3731
LV,2010,39651,4011
LV,2011,30311,10234
LV,2012,25163,13303
LV,2013,22561,8299
LV,2014,19017,10365
LV,2015,20119,9479
LV,2016,20574,8345
LV,2017,17724,9916
LV,2018,15814,10909
LV,2019,14583,11223
LV,2020,11990,8840
LV,2021,12975,12689
ME,2020,28,6008
MK,2008,751,1052
MK,2009,792,857
MK,2010,1007,1359
MK,2011,1290,1464
MK,2012,1415,1715
MK,2013,1041,2050
MK,2014,839,1935
MK,2015,1016,1741
MK,2016,630,2262
MK,2017,424,2064
MK,2018,377,2053
MK,2020,1082,2555
MK,2021,1412,1570
MT,2006,3835,3889
MT,2007,3730,5292
MT,2008,3719,6043
MT,2009,3868,6161
MT,2010,4201,4275
MT,2011,3806,5465
MT,2012,4005,8256
MT,2013,4778,10897
MT,2014,5108,14454
MT,2015,7095,16936
MT,2016,8303,17051
MT,2017,7020,21676
MT,2018,9342,26444
MT,2019,7998,28341
MT,2020,12679,13885
MT,2021,13509,18148
NL,1990,57344,117350
NL,1991,57328,120249
NL,1992,58834,116926
NL,1993,59222,119154
NL,1994,53579,92143
NL,1995,63321,96099
NL,1996,65325,108749
NL,1997,62220,109860
NL,1998,60441,122407
NL,1999,59023,119151
NL,2000,61201,132850
NL,2001,63318,133404
NL,2002,66728,121250
NL,2003,68885,104514
NL,2004,75049,94019
NL,2005,83399,92297
NL,2006,91028,101150
NL,2007,91287,116819
NL,2008,90067,143516
NL,2009,92825,122917
NL,2010,95970,126776
NL,2011,104201,130118
NL,2012,110431,124566
NL,2013,112625,129428
NL,2014,112900,145323
NL,2015,112330,166872
NL,2016,111477,189232
NL,2017,108231,189646
NL,2018,109635,194306
NL,2019,107906,215756
NL,2020,102502,182244
NL,2021,110342,214105
NO,1990,23784,25494
NO,1991,18238,26283
NO,1992,16801,26743
NO,1993,18903,31711
