country,year,death_rate
HR,2018,0.56
HR,2019,0.83
HR,2020,0.97
HU,2000,2.7
HU,2001,2.6
HU,2002,2.5
HU,2003,2.0
HU,2004,2.2
HU,2005,2.0
HU,2006,2.0
HU,2007,1.8
HU,2008,2.1
HU,2009,1.5
HU,2010,1.5
HU,2011,1.69
HU,2012,1.37
HU,2013,1.25
HU,2014,0.94
HU,2015,1.27
HU,2016,0.97
HU,2017,0.82
HU,2018,1.02
HU,2019,0.81
HU,2020,0.92
IE,2000,0.8
IE,2001,1.0
IE,2002,1.0
IE,2003,0.8
IE,2004,0.5
IE,2005,0.8
IE,2006,0.8
IE,2007,1.0
IE,2008,0.8
IE,2009,0.8
IE,2010,0.8
IE,2011,0.61
IE,2012,0.87
IE,2013,0.56
IE,2014,0.71
IE,2015,0.46
IE,2016,0.52
IE,2017,0.36
IE,2018,0.45
IE,2019,0.28
IE,2020,0.15
IS,2000,2.1
IS,2001,0.6
IS,2002,1.9
IS,2004,1.3
IS,2005,0.9
IS,2006,0.3
IS,2007,0.6
IS,2008,0.2
IS,2009,0.3
IS,2011,0.81
IS,2012,0.33
IS,2013,0.95
IS,2014,0.26
IS,2015,1.26
IS,2016,0.32
IS,2017,0.84
IS,2018,0.34
IS,2019,0.0
IS,2020,0.62
IT,2000,1.0
IT,2001,0.9
IT,2002,0.9
IT,2003,1.1
IT,2006,0.9
IT,2007,0.9
IT,2008,0.8
IT,2009,0.8
IT,2010,0.7
IT,2011,0.66
IT,2012,0.68
IT,2013,0.6
IT,2014,0.56
IT,2015,0.57
IT,2016,0.51
IT,2017,0.48
IT,2018,0.46
IT,2019,0.38
IT,2020,0.35
LI,2014,2.17
LI,2017,0.0
LI,2018,0.0
LI,2019,0.0
LI,2020,0.0
LT,2000,10.7
LT,2001,10.8
LT,2002,7.3
LT,2003,10.2
LT,2004,8.8
LT,2005,9.7
LT,2006,8.1
LT,2007,7.5
LT,2008,7.9
LT,2009,6.3
LT,2010,5.6
LT,2011,5.11
LT,2012,4.4
LT,2013,4.9
LT,2014,3.81
LT,2015,4.11
LT,2016,3.63
LT,2017,2.84
LT,2018,2.56
LT,2019,2.2
LT,2020,2.47
LU,2000,1.0
LU,2001,1.7
LU,2002,1.7
LU,2003,0.8
LU,2004,0.4
LU,2005,1.5
LU,2006,1.4
LU,2007,1.3
LU,2008,1.0
LU,2009,1.0
LU,2010,2.3
LU,2011,0.38
LU,2012,0.33
LU,2013,0.16
LU,2014,1.11
LU,2015,0.94
LU,2016,0.45
LU,2017,0.15
LU,2018,0.44
LU,2019,0.69
LU,2020,0.3
LV,2000,13.0
LV,2001,12.5
LV,2002,12.0
LV,2003,11.1
LV,2004,9.8
LV,2005,10.6
LV,2006,9.8
LV,2007,8.8
LV,2008,7.9
LV,2009,6.6
LV,2010,6.7
LV,2011,6.22
LV,2012,6.25
LV,2013,5.91
LV,2014,6.95
LV,2015,5.14
LV,2016,4.54
LV,2017,3.76
LV,2018,3.84
LV,2019,3.32
LV,2020,3.5
MK,2000,3.8
MK,2001,6.7
MK,2002,3.7
MK,2003,3.2
MK,2004,3.4
MK,2005,3.0
MK,2006,2.7
MK,2007,2.5
MK,2008,1.9
MK,2009,1.5
MK,2010,2.4
MT,2000,1.2
MT,2001,2.1
MT,2002,1.3
MT,2004,1.3
MT,2005,0.5
MT,2007,0.8
MT,2008,1.2
MT,2009,0.7
MT,2010,1.0
MT,2011,0.45
MT,2012,1.33
MT,2013,1.37
MT,2014,0.82
MT,2015,0.69
MT,2016,0.8
MT,2017,1.6
MT,2018,1.63
MT,2019,0.52
MT,2020,0.98
NL,2000,1.1
NL,2001,1.2
NL,2002,1.1
NL,2003,1.2
NL,2004,1.2
NL,2005,1.0
NL,2006,0.8
NL,2007,0.9
NL,2008,0.9
NL,2009,0.9
NL,2010,0.9
NL,2011,0.85
NL,2012,0.84
NL,2013,0.79
NL,2014,0.79
NL,2015,0.65
NL,2016,0.62
NL,2017,0.78
NL,2018,0.6
NL,2019,0.64
NL,2020,0.61
NO,2000,1.2
NO,2001,0.7
NO,2002,0.9
NO,2003,1.0
NO,2004,0.8
NO,2005,0.6
NO,2006,1.0
NO,2007,0.7
NO,2008,0.6
NO,2009,0.7
NO,2010,0.6
NO,2011,2.12
NO,2012,0.6
NO,2013,0.91
NO,2014,0.58
NO,2015,0.43
NO,2016,0.66
NO,2017,0.54
NO,2018,0.44
NO,2019,0.52
NO,2020,0.63
PL,2000,2.3
PL,2001,1.9
PL,2002,1.9
PL,2003,1.6
PL,2004,1.5
PL,2005,1.5
PL,2006,1.5
PL,2007,1.4
PL,2008,1.3
PL,2009,1.1
PL,2010,0.9
PL,2011,1.08
PL,2012,0.99
PL,2013,1.12
PL,2014,0.89
PL,2015,0.78
PL,2016,0.76
PL,2017,0.7
PL,2018,0.54
PL,2019,0.67
PL,2020,0.58
PT,2000,0.9
PT,2001,1.2
PT,2002,1.7
PT,2003,1.6
PT,2004,1.7
PT,2005,1.4
PT,2006,1.7
PT,2007,1.0
PT,2008,1.4
PT,2009,1.0
PT,2010,1.2
PT,2011,0.94
PT,2012,1.12
PT,2013,0.92
PT,2014,1.02
PT,2015,1.01
PT,2016,0.78
PT,2017,0.69
PT,2018,0.76
PT,2019,0.85
PT,2020,0.8
RO,2000,3.9
RO,2001,3.8
RO,2002,4.0
RO,2003,4.1
RO,2004,3.8
RO,2005,2.7
RO,2006,2.4
RO,2007,2.2
RO,2008,2.6
RO,2009,2.5
RO,2010,2.6
RO,2011,2.22
RO,2012,2.27
RO,2013,1.87
RO,2014,1.87
RO,2015,1.6
RO,2016,1.56
RO,2017,1.47
RO,2018,1.43
RO,2019,1.45
RO,2020,1.47
RS,2011,1.73
RS,2012,1.59
RS,2013,2.12
RS,2014,1.69
RS,2015,1.43
RS,2016,1.75
RS,2017,1.29
RS,2018,1.42
RS,2019,1.23
RS,2020,1.31
SE,2000,1.1
SE,2001,1.0
SE,2002,1.2
SE,2003,0.9
SE,2004,1.1
SE,2005,0.9
SE,2006,0.9
SE,2007,1.2
SE,2008,0.8
SE,2009,0.9
SE,2010,0.9
SE,2011,0.77
SE,2012,0.66
SE,2013,0.82
SE,2014,0.82
SE,2015,0.99
SE,2016,0.94
SE,2017,1.06
SE,2018,1.03
SE,2019,1.04
SE,2020,1.26
SI,2000,1.1
SI,2001,0.8
SI,2002,1.3
SI,2003,1.4
SI,2004,1.8
SI,2005,1.1
SI,2006,0.6
SI,2007,1.0
SI,2008,0.6
SI,2009,0.6
SI,2010,0.5
SI,2011,0.87
SI,2012,0.77
SI,2013,0.95
SI,2014,0.96
SI,2015,0.75
SI,2016,0.69
SI,2017,1.08
SI,2018,0.7
SI,2019,0.41
SI,2020,0.73
SK,2000,2.3
SK,2001,2.2
SK,2002,2.4
SK,2003,2.0
SK,2004,1.9
SK,2005,1.7
SK,2006,1.6
SK,2007,1.3
SK,2008,1.3
SK,2009,1.2
SK,2010,1.3
SK,2011,1.48
SK,2012,1.09
SK,2013,1.37
SK,2014,0.9
SK,2015,0.84
SK,2016,0.74
SK,2017,0.48
SK,2018,0.58
SK,2019,0.58
SK,2020,0.59
TR,2011,1.22
TR,2012,1.19
TR,2013,1.74
TR,2014,1.5
TR,2015,1.3
TR,2016,1.68
TR,2017,1.69
TR,2018,1.38
TR,2019,0.99
UK,2000,0.9
UK,2001,0.4
UK,2002,0.4
UK,2003,0.5
UK,2004,0.5
UK,2005,0.4
UK,2006,0.4
UK,2007,0.4
UK,2008,0.3
UK,2009,0.3
UK,2010,0.3
UK,2011,0.19
UK,2012,0.17
UK,2013,0.16
UK,2014,0.13
UK,2015,0.13
UK,2016,0.14
UK,2017,0.13
UK,2018,0.14
