DATAFLOW,LAST UPDATE,freq,unit,icd10,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2005,0.5,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2006,0.6,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2007,0.5,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2008,0.5,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2009,0.5,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2010,0.6,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2011,0.54,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2012,0.53,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2013,0.5,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2014,0.46,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2015,0.53,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2016,0.46,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2017,0.44,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2018,0.4,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2019,0.4,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DE,2020,0.44,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2000,1.2,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2001,0.9,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2002,0.9,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2003,1.1,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2004,0.7,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2005,1.0,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2006,0.7,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2007,0.9,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2008,0.8,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2009,0.8,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2011,0.8,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2012,0.34,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2013,0.35,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2014,0.74,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2015,0.6,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2016,0.47,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2017,0.81,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2018,0.68,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2019,0.63,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,DK,2020,0.62,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2000,14.9,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2001,15.5,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2002,11.8,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2003,10.9,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2004,8.3,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2005,9.4,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2006,7.5,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2007,7.1,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2008,6.8,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2009,6.1,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2010,4.7,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2011,4.73,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2012,4.89,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2013,3.98,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2014,3.19,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2015,3.64,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2016,2.65,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2017,2.28,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2018,2.26,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2019,1.95,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EE,2020,3.19,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2000,1.2,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2001,1.1,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2002,0.8,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2003,1.1,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2004,0.9,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2005,1.0,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2006,0.9,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2007,1.1,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2008,1.3,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2009,1.4,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2010,1.4,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2011,1.54,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2012,1.4,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2013,1.35,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2014,1.06,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2015,0.85,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2016,0.77,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2017,0.82,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2018,0.91,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2019,0.8,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,EL,2020,0.74,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,ES,2000,1.0,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,ES,2001,1.0,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,ES,2002,1.0,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,ES,2003,1.0,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,ES,2004,1.3,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,ES,2005,0.9,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,ES,2006,0.8,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,ES,2007,0.7,
