country,year,mean_income
NL,1997,13445
NL,1998,14285
NL,1999,15218
NL,2000,15252
NL,2001,15549
NL,2005,17811
NL,2006,18554
NL,2007,20003
NL,2008,21868
NL,2009,21739
NL,2010,21039
NL,2011,20916
NL,2012,21183
NL,2013,21335
NL,2014,20875
NL,2015,21785
NL,2016,23642
NL,2017,23704
NL,2018,24067
NL,2019,24413
NL,2020,25114
NL,2021,26449
NL,2022,27392
NO,2003,20520
NO,2004,20445
NO,2005,21549
NO,2006,23403
NO,2007,21878
NO,2008,25036
NO,2009,25928
NO,2010,25001
NO,2011,25965
NO,2012,27172
NO,2013,28415
NO,2014,29891
NO,2015,30381
NO,2016,30007
NO,2017,28668
NO,2018,28144
NO,2019,29002
NO,2020,29943
NO,2021,28654
NO,2022,30374
PL,2005,5712
PL,2006,6067
PL,2007,6645
PL,2008,8004
PL,2009,8660
PL,2010,8801
PL,2011,9627
PL,2012,10073
PL,2013,10598
PL,2014,11042
PL,2015,11419
PL,2016,12297
PL,2017,12691
PL,2018,12850
PL,2019,13889
PL,2020,14823
PL,2021,15315
PL,2022,16529
PT,1995,7672
PT,1996,7798
PT,1997,8237
PT,1998,8620
PT,1999,9129
PT,2000,9569
PT,2001,10565
PT,2004,10307
PT,2005,10751
PT,2006,11233
PT,2007,11689
PT,2008,12008
PT,2009,11806
PT,2010,11815
PT,2011,11906
PT,2012,12035
PT,2013,11887
PT,2014,12128
PT,2015,12226
PT,2016,12994
PT,2017,12964
PT,2018,12785
PT,2019,13642
PT,2020,14498
PT,2021,14668
PT,2022,14643
RO,2007,3367
RO,2008,3637
RO,2009,4002
RO,2010,4119
RO,2011,4184
RO,2012,4266
RO,2013,4481
RO,2014,4550
RO,2015,5033
RO,2016,5299
RO,2017,5928
RO,2018,7311
RO,2019,8420
RO,2020,8771
RO,2021,9813
RO,2022,11157
RS,2013,5715
RS,2014,5385
RS,2015,5626
RS,2016,5856
RS,2017,5903
RS,2018,5801
RS,2019,6789
RS,2020,7570
RS,2021,7943
RS,2022,8521
SE,2004,14892
SE,2005,15626
SE,2006,15950
SE,2007,17033
SE,2008,18639
SE,2009,19536
SE,2010,18647
SE,2011,19215
SE,2012,20143
SE,2013,21363
SE,2014,21114
SE,2015,21677
SE,2016,22772
SE,2017,22242
SE,2018,22143
SE,2019,21983
SE,2020,21666
SE,2021,22421
SE,2022,22379
SI,2005,12553
SI,2006,13189
SI,2007,13988
SI,2008,14846
SI,2009,15393
SI,2010,14392
SI,2011,14970
SI,2012,15272
SI,2013,15236
SI,2014,15451
SI,2015,16180
SI,2016,16320
SI,2017,16289
SI,2018,16823
SI,2019,18016
SI,2020,18209
SI,2021,18928
SI,2022,20135
SK,2005,4391
SK,2006,5305
SK,2007,6182
SK,2008,7310
SK,2009,8710
SK,2010,9273
SK,2011,9933
SK,2012,10688
SK,2013,10324
SK,2014,10777
SK,2015,10755
SK,2016,11129
SK,2017,10017
SK,2018,10277
SK,2019,11026
SK,2020,10423
SK,2021,9784
SK,2022,10158
TR,2006,4880
TR,2007,5538
TR,2008,5685
TR,2009,6134
TR,2010,5995
TR,2011,6597
TR,2012,7096
TR,2013,7205
TR,2014,7375
TR,2015,7784
TR,2016,9024
TR,2017,9173
TR,2018,9082
TR,2019,9231
TR,2020,9217
TR,2021,8563
UK,1995,13386
UK,1996,13659
UK,1997,14296
UK,1998,15120
UK,1999,14794
UK,2000,15964
UK,2001,17272
UK,2005,20520
UK,2006,20601
UK,2007,22046
UK,2008,22347
UK,2009,20056
UK,2010,19034
UK,2011,19138
UK,2012,19218
UK,2013,19422
UK,2014,19866
UK,2015,21160
UK,2016,20132
UK,2017,21690
UK,2018,22009
XK,2018,5059
