DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CY,2015,18812,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CY,2016,19545,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CY,2017,20045,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CY,2018,20068,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CY,2019,22129,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CY,2020,21293,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CY,2021,21590,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CY,2022,22907,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2005,8735,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2006,9307,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2007,10023,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2008,10914,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2009,11444,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2010,10923,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2011,11315,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2012,11602,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2013,12207,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2014,12513,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2015,13100,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2016,14023,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2017,14167,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2018,14737,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2019,15541,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2020,15825,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2021,15654,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CZ,2022,17118,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,1995,13371,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,1996,14010,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,1997,14583,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,1998,14947,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,1999,15398,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2000,16475,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2001,17812,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2005,17390,b
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2006,16736,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2007,19755,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2008,20738,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2009,20502,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2010,20073,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2011,20815,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2012,21586,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2013,22352,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2014,21947,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2015,23155,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2016,23881,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2017,24114,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2018,25048,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2019,25194,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2020,27851,b
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2021,27228,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DE,2022,26538,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2003,16825,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2004,16125,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2005,16692,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2006,17109,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2007,18149,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2008,18963,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2009,18538,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2010,18822,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2011,20894,b
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2012,21001,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2013,21640,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2014,22316,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2015,22651,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2016,23945,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2017,23387,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2018,24275,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2019,25004,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2020,24400,b
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2021,25509,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,DK,2022,26170,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2004,5227,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2005,5755,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2006,6735,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2007,7741,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2008,8635,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2009,9403,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2010,8779,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2011,8785,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2012,9382,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2013,10265,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2014,11294,b
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2015,12550,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2016,13868,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2017,14151,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2018,14932,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2019,15879,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2020,16063,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2021,16682,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EE,2022,19473,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,1995,7953,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,1996,8300,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,1997,8772,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,1998,9396,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,1999,9483,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2000,10343,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2001,10546,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2003,12065,b
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2004,11876,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2005,12728,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2006,13220,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2007,13622,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2008,14223,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2009,14833,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2010,14717,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2011,13364,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2012,11293,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2013,10053,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2014,10028,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2015,10163,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2016,10462,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2017,10462,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2018,10621,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2019,11179,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2020,11635,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2021,11277,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,EL,2022,12335,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,ES,1995,8889,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,ES,1996,9191,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,ES,1997,9677,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,ES,1998,10104,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,ES,1999,10604,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,ES,2000,11789,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,ES,2001,12776,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,ES,2004,13152,b
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,ES,2005,13203,
