DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CY,2009,19392,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CY,2010,18773,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CY,2011,18510,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CY,2012,17410,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CY,2013,16908,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CY,2014,16232,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CY,2015,16635,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CY,2016,17852,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CY,2017,18782,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CY,2018,19345,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CY,2019,20779,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CY,2020,21001,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CY,2021,22669,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CY,2022,23923,p
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2000,9408,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2001,10226,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2002,10422,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2003,11116,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2004,11532,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2005,12127,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2006,12590,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2007,13365,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2008,13986,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2009,14433,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2010,14664,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2011,14732,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2012,14822,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2013,15288,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2014,16014,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2015,16340,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2016,16750,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2017,17901,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2018,18669,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2019,19531,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2020,19715,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2021,21378,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CZ,2022,22120,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2000,17725,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2001,18538,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2002,18671,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2003,19549,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2004,20134,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2005,20653,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2006,21250,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2007,21966,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2008,22689,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2009,22594,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2010,23394,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2011,24390,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2012,24871,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2013,25104,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2014,25700,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2015,25992,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2016,26823,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2017,27652,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2018,28711,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2019,29057,p
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2020,29635,p
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,DE,2021,30584,p
