country,year,purchasing_power
RO,2003,6200
RO,2004,7300
RO,2005,7900
RO,2006,9200
RO,2007,10800
RO,2008,13000
RO,2009,12600
RO,2010,13100
RO,2011,14000
RO,2012,14600
RO,2013,14200
RO,2014,14800
RO,2015,15500
RO,2016,16600
RO,2017,18500
RO,2018,20000
RO,2019,21800
RO,2020,21900
RO,2021,23900
RO,2022,26800
RS,2000,5000
RS,2001,5400
RS,2002,5900
RS,2003,6300
RS,2004,6900
RS,2005,7500
RS,2006,8100
RS,2007,8900
RS,2008,9800
RS,2009,9500
RS,2010,9700
RS,2011,10200
RS,2012,10300
RS,2013,10600
RS,2014,10500
RS,2015,10700
RS,2016,11000
RS,2017,11400
RS,2018,12000
RS,2019,12800
RS,2020,12800
RS,2021,14200
RS,2022,15600
SE,2000,24600
SE,2001,24800
SE,2002,25300
SE,2003,26100
SE,2004,27700
SE,2005,28000
SE,2006,30000
SE,2007,32300
SE,2008,32700
SE,2009,30400
SE,2010,32000
SE,2011,33200
SE,2012,33500
SE,2013,33400
SE,2014,33800
SE,2015,35300
SE,2016,35000
SE,2017,35700
SE,2018,36300
SE,2019,37200
SE,2020,36900
SE,2021,40000
SE,2022,42400
SI,2000,14900
SI,2001,15700
SI,2002,16600
SI,2003,17300
SI,2004,18600
SI,2005,19500
SI,2006,20400
SI,2007,21800
SI,2008,23000
SI,2009,20800
SI,2010,21100
SI,2011,21600
SI,2012,21400
SI,2013,21600
SI,2014,22100
SI,2015,22700
SI,2016,23600
SI,2017,25100
SI,2018,26500
SI,2019,27800
SI,2020,26900
SI,2021,29300
SI,2022,31900
SK,2000,9400
SK,2001,10300
SK,2002,10900
SK,2003,11600
SK,2004,12400
SK,2005,13600
SK,2006,15000
SK,2007,16700
SK,2008,18300
SK,2009,17300
SK,2010,19100
SK,2011,19600
SK,2012,19900
SK,2013,20200
SK,2014,20800
SK,2015,21600
SK,2016,20700
SK,2017,20700
SK,2018,21300
SK,2019,22100
SK,2020,22400
SK,2021,23900
SK,2022,25200
