DATAFLOW,LAST UPDATE,freq,unit,subjnmon,hhtyp,incgrp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CZ,2019,3.3,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CZ,2020,3.0,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CZ,2021,3.2,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CZ,2022,3.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DE,2005,3.3,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DE,2006,2.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DE,2007,2.0,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DE,2008,2.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DE,2009,3.3,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DE,2010,2.8,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DE,2011,3.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DE,2012,3.0,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DE,2013,3.0,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DE,2014,2.8,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DE,2015,2.6,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DE,2016,2.3,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DE,2017,2.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DE,2018,1.7,
