DATAFLOW,LAST UPDATE,freq,wstatus,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2018,9.1,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2019,8.0,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2020,8.6,b
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2021,8.7,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DE,2022,7.0,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2003,4.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2004,4.8,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2005,4.8,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2006,4.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2007,4.1,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2008,5.0,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2009,5.9,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2010,6.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2011,6.3,b
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2012,5.2,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2013,5.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2014,4.9,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2015,5.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2016,5.3,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2017,5.3,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2018,6.0,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2019,6.3,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2020,6.2,b
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2021,6.0,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,DK,2022,5.9,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2004,9.1,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2005,7.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2006,7.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2007,7.8,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2008,7.3,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2009,8.1,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2010,6.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2011,7.9,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2012,8.3,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2013,7.6,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2014,11.8,b
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2015,10.0,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2016,9.6,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2017,9.3,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2018,9.3,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2019,10.0,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2020,10.0,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2021,10.0,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EE,2022,10.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2003,13.5,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2004,13.1,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2005,12.9,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2006,13.8,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2007,14.2,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2008,14.3,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2009,13.8,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2010,13.8,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2011,11.9,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2012,15.1,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2013,13.1,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2014,13.4,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2015,13.4,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2016,14.1,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2017,12.9,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2018,11.0,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2019,10.2,
ESTAT:SDG_01_41(1.0),02/02/24 23:00:00,A,EMP,T,Y_GE18,PC,EL,2020,10.1,
