DATAFLOW,LAST UPDATE,freq,sex,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2016,5.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2017,5.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2018,4.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2019,3.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2020,2.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2021,2.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PL,2022,2.8,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2015,10.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2016,9.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2017,8.0,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2018,6.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2019,5.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2020,5.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2021,6.0,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,PT,2022,5.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2015,34.0,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2016,35.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2017,32.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2018,28.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2019,24.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2020,25.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2021,23.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2022,24.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SE,2015,1.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SE,2016,0.7,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SE,2017,1.0,
