DATAFLOW,LAST UPDATE,freq,sex,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,RO,2022,34.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SE,2015,18.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SE,2016,17.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SE,2017,17.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SE,2018,17.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SE,2019,18.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SE,2020,17.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SE,2021,17.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SE,2022,18.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SI,2015,17.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SI,2016,16.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SI,2017,16.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SI,2018,15.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SI,2019,13.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SI,2020,14.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SI,2021,13.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SI,2022,13.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SK,2015,17.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SK,2016,17.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SK,2017,15.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SK,2018,15.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SK,2019,14.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SK,2020,13.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SK,2021,15.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,SK,2022,16.5,
