DATAFLOW,LAST UPDATE,freq,sex,unit,indic_il,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CY,2021,13.8,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CY,2022,13.9,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2001,8.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2005,10.4,b
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2006,9.9,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2007,9.6,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2008,9.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2009,8.6,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2010,9.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2011,9.8,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2012,9.6,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2013,8.6,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2014,9.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2015,9.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2016,9.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2017,9.1,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2018,9.6,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2019,10.1,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2020,9.5,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2021,8.6,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,CZ,2022,10.2,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,1995,15.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,1996,14.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,1997,12.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,1998,11.0,
