country,year,tertiary_attainment_percentage
IT,2021,28.3
IT,2022,29.2
LT,2000,39.9
LT,2001,26.7
LT,2002,28.0
LT,2003,29.3
LT,2004,35.7
LT,2005,36.9
LT,2006,38.2
LT,2007,38.1
LT,2008,41.5
LT,2009,43.5
LT,2010,46.3
LT,2011,48.2
LT,2012,48.6
LT,2013,50.5
LT,2014,52.6
LT,2015,54.8
LT,2016,54.9
LT,2017,55.6
LT,2018,55.6
LT,2019,55.2
LT,2020,56.2
LT,2021,57.5
LT,2022,58.2
LU,2000,22.9
LU,2001,23.4
LU,2002,22.6
LU,2003,18.8
LU,2004,32.4
LU,2005,37.0
LU,2006,33.5
LU,2007,35.7
LU,2008,38.7
LU,2009,44.5
LU,2010,44.2
LU,2011,46.6
LU,2012,49.9
LU,2013,48.1
LU,2014,52.9
LU,2015,50.3
LU,2016,51.5
LU,2017,51.3
LU,2018,53.7
LU,2019,56.1
LU,2020,60.6
LU,2021,62.6
LU,2022,61.0
LV,2000,17.3
LV,2001,16.6
LV,2002,17.3
LV,2003,18.5
LV,2004,19.7
LV,2005,21.7
LV,2006,23.0
LV,2007,25.7
LV,2008,28.8
LV,2009,31.6
LV,2010,34.7
LV,2011,35.1
LV,2012,38.7
LV,2013,40.7
LV,2014,39.4
LV,2015,39.9
LV,2016,42.1
LV,2017,41.6
LV,2018,41.6
LV,2019,43.8
LV,2020,44.2
LV,2021,45.5
LV,2022,45.9
ME,2011,25.9
ME,2012,26.8
ME,2013,31.5
ME,2014,32.6
ME,2015,31.9
ME,2016,34.3
ME,2017,35.5
ME,2018,34.2
ME,2019,39.3
ME,2020,40.4
MK,2006,12.2
MK,2007,14.8
MK,2008,15.1
MK,2009,19.3
MK,2010,21.8
MK,2011,25.1
MK,2012,26.3
MK,2013,26.3
MK,2014,28.1
MK,2015,30.6
MK,2016,32.2
MK,2017,33.0
MK,2018,33.6
MK,2019,35.8
MK,2020,37.7
MT,2000,8.8
MT,2001,14.8
MT,2002,12.0
MT,2003,16.3
MT,2004,18.4
MT,2005,17.8
MT,2006,20.8
MT,2007,22.2
MT,2008,23.1
MT,2009,22.8
MT,2010,24.3
MT,2011,26.2
MT,2012,28.3
MT,2013,31.1
MT,2014,31.3
MT,2015,31.9
MT,2016,34.3
MT,2017,34.9
MT,2018,39.9
MT,2019,40.8
MT,2020,40.1
MT,2021,42.5
MT,2022,42.4
NL,2000,26.9
NL,2001,27.1
NL,2002,28.3
NL,2003,32.1
NL,2004,34.5
NL,2005,33.3
NL,2006,34.6
NL,2007,35.7
NL,2008,38.3
NL,2009,38.4
NL,2010,40.3
NL,2011,40.0
NL,2012,41.4
NL,2013,43.0
NL,2014,44.3
NL,2015,45.1
NL,2016,45.2
NL,2017,46.6
NL,2018,47.6
NL,2019,49.1
NL,2020,52.3
NL,2021,55.6
NL,2022,56.4
NO,2000,38.6
NO,2001,42.7
NO,2002,42.8
NO,2003,39.7
NO,2004,39.8
NO,2005,39.5
NO,2006,41.0
NO,2007,41.7
NO,2008,43.7
NO,2009,44.3
NO,2010,45.0
NO,2011,46.1
NO,2012,45.0
NO,2013,46.7
NO,2014,50.2
NO,2015,49.0
NO,2016,49.2
NO,2017,48.3
NO,2018,48.5
NO,2019,48.4
NO,2020,50.9
NO,2021,55.0
NO,2022,55.6
PL,2000,14.3
PL,2001,15.0
PL,2002,16.8
PL,2003,20.3
PL,2004,23.0
PL,2005,25.4
PL,2006,28.0
PL,2007,30.0
PL,2008,32.1
PL,2009,35.5
PL,2010,37.1
PL,2011,39.0
PL,2012,40.8
PL,2013,41.8
PL,2014,42.6
PL,2015,43.2
PL,2016,43.5
PL,2017,43.6
PL,2018,43.5
PL,2019,43.5
PL,2020,42.4
PL,2021,40.6
PL,2022,40.5
PT,2000,12.8
PT,2001,14.1
PT,2002,15.3
PT,2003,16.7
PT,2004,18.4
PT,2005,19.0
PT,2006,20.0
PT,2007,21.4
PT,2008,23.2
PT,2009,23.5
PT,2010,25.5
PT,2011,27.5
PT,2012,29.0
PT,2013,30.0
PT,2014,31.4
PT,2015,33.1
PT,2016,35.0
PT,2017,34.0
PT,2018,35.1
PT,2019,37.4
PT,2020,41.9
PT,2021,47.5
PT,2022,44.4
RO,2000,9.2
RO,2001,9.5
RO,2002,10.4
RO,2003,10.7
RO,2004,12.6
RO,2005,13.5
RO,2006,14.8
RO,2007,16.6
RO,2008,18.8
RO,2009,19.5
RO,2010,20.7
RO,2011,22.5
RO,2012,23.6
RO,2013,24.4
RO,2014,25.4
RO,2015,25.5
RO,2016,24.8
RO,2017,25.6
RO,2018,24.9
RO,2019,25.5
RO,2020,24.9
RO,2021,23.3
RO,2022,24.7
RS,2010,18.9
RS,2011,22.0
RS,2012,24.9
RS,2013,25.1
RS,2014,27.1
RS,2015,29.8
RS,2016,31.4
RS,2017,32.2
RS,2018,32.8
RS,2019,33.4
RS,2020,32.6
RS,2021,33.9
RS,2022,33.4
SE,2000,33.1
SE,2001,28.2
SE,2002,30.7
SE,2003,32.5
SE,2004,34.5
SE,2005,37.3
SE,2006,39.2
SE,2007,39.9
SE,2008,40.9
SE,2009,42.4
SE,2010,42.3
SE,2011,42.8
SE,2012,43.5
SE,2013,44.9
SE,2014,46.0
SE,2015,46.5
SE,2016,47.3
SE,2017,47.4
SE,2018,47.6
SE,2019,48.4
SE,2020,49.2
SE,2021,49.3
SE,2022,52.4
SI,2000,19.3
SI,2001,17.4
SI,2002,19.7
SI,2003,23.7
SI,2004,24.9
SI,2005,24.7
SI,2006,27.0
SI,2007,30.1
SI,2008,30.0
SI,2009,30.4
SI,2010,31.3
SI,2011,33.8
SI,2012,35.3
SI,2013,37.4
SI,2014,38.0
SI,2015,40.8
SI,2016,43.0
SI,2017,44.5
SI,2018,40.7
SI,2019,44.1
SI,2020,45.4
SI,2021,47.9
SI,2022,47.3
SK,2000,11.1
SK,2001,11.7
SK,2002,11.9
SK,2003,13.2
SK,2004,14.3
SK,2005,16.2
SK,2006,16.6
SK,2007,17.5
SK,2008,18.4
SK,2009,20.6
SK,2010,24.0
SK,2011,25.5
SK,2012,27.0
SK,2013,29.7
SK,2014,29.8
