country,year,healthy_expectancy_2004_2021
RO,2012,57.6
RO,2013,58.4
RO,2014,59.0
RO,2015,59.2
RO,2016,59.4
RO,2017,58.7
RO,2018,59.4
RO,2019,60.2
RO,2020,59.9
RO,2021,57.8
SE,2004,61.4
SE,2005,63.8
SE,2006,67.4
SE,2007,67.3
SE,2008,64.7
SE,2009,65.8
SE,2010,66.1
SE,2011,65.5
SE,2013,65.8
SE,2014,72.9
SE,2015,72.7
SE,2016,73.2
SE,2017,72.6
SE,2018,72.8
SE,2019,73.3
SE,2020,72.7
SE,2021,68.4
SI,2005,58.2
SI,2006,59.4
SI,2007,60.4
SI,2008,60.2
SI,2009,61.0
SI,2010,53.9
SI,2011,53.9
SI,2012,56.0
SI,2013,58.5
SI,2014,58.7
SI,2015,58.1
SI,2016,58.3
SI,2017,55.0
SI,2018,55.5
SI,2019,60.9
SI,2020,65.1
SI,2021,65.4
SK,2005,55.9
SK,2006,54.5
SK,2007,55.8
SK,2008,52.3
SK,2009,52.4
SK,2010,52.2
SK,2011,52.2
SK,2012,53.3
SK,2013,54.4
SK,2014,55.1
SK,2015,54.9
SK,2016,56.7
SK,2017,55.6
SK,2018,56.1
SK,2019,56.2
SK,2020,56.7
SK,2021,56.8
UK,2005,64.9
UK,2006,64.8
UK,2007,65.3
UK,2008,65.6
UK,2009,65.5
UK,2010,65.3
UK,2011,65.2
UK,2012,64.5
UK,2013,64.6
UK,2014,63.8
UK,2015,63.5
UK,2016,63.1
UK,2017,62.7
UK,2018,61.2
